rank,russian_verb,transliteration,english_verb,russian_sentence,sentence_transliteration,english_sentence,category
426,шептать,sheptat',to whisper (impf),Она шепчет что-то подруге на ухо.,Ona shepchet chto-to podruge na ukho.,She is whispering something to her friend's ear.,communication
427,молчать,molchat',to keep silent (impf),Лучше молчи если не знаешь ответа.,Luchshe molchi yesli ne znayesh' otveta.,Better keep quiet if you don't know the answer.,communication
428,предупредить,predupredit',to warn (pf),Он предупредил нас о возможных проблемах.,On predupredil nas o vozmozhnykh problemakh.,He warned us about possible problems.,communication
429,убедить,ubedit',to convince (pf),Она убедила начальника принять её план.,Ona ubedila nachal'nika prinyat' yeyo plan.,She convinced the boss to accept her plan.,communication
430,уговорить,ugovorit',to persuade (pf),Мы уговорили его поехать с нами.,My ugovorili yego poyekhat' s nami.,We persuaded him to go with us.,communication
431,пожаловаться,pozhalovat'sya,to complain (pf),Она пожаловалась на шум от соседей.,Ona pozhalovalas' na shum ot sosedey.,She complained about the noise from neighbors.,communication
432,жаловаться,zhalovat'sya,to complain (impf),Он постоянно жалуется на свою работу.,On postoyanno zhaluyetsya na svoyu rabotu.,He constantly complains about his job.,communication
433,уезжать,uyezzhat',to leave (by vehicle impf),Он уезжает в командировку в понедельник.,On uyezzhayет v komandirovku v ponedel'nik.,He is leaving for a business trip on Monday.,motion
434,уехать,uyekhat',to leave (by vehicle pf),Она уехала в другой город на учёбу.,Ona uyekhala v drugoy gorod na uchyobu.,She left for another city to study.,motion
435,приземлиться,prizemlit'sya,to land (pf),Самолёт приземлился точно по расписанию.,Samolyot prizemilsya tochno po raspisaniyu.,The plane landed exactly on schedule.,motion
436,разбить,razbit',to break/shatter (pf),Он случайно разбил стакан на кухне.,On sluchayno razbil stakan na kukhne.,He accidentally broke a glass in the kitchen.,action
437,починить,pochinit',to fix/repair (pf),Мастер починил кран в ванной.,Master pochinil kran v vannoy.,The repairman fixed the faucet in the bathroom.,action
438,ремонтировать,remontirovat',to repair (impf),Рабочие ремонтируют дорогу перед домом.,Rabochiye remontiruyut dorogu pered domom.,Workers are repairing the road in front of the house.,action
439,красить,krasit',to paint (impf),Мы красим стены в новой квартире.,My krasim steny v novoy kvartire.,We are painting the walls in the new apartment.,creation
440,покрасить,pokrasit',to paint (pf),Она покрасила волосы в рыжий цвет.,Ona pokrasila volosy v ryzhiy tsvet.,She dyed her hair red.,change
441,рассмотреть,rassmotret',to examine (pf),Давайте рассмотрим все варианты.,Davayte rassmotrim vse varianty.,Let's consider all the options.,cognition
442,отличаться,otlichat'sya,to differ (impf),Эти два города сильно отличаются друг от друга.,Eti dva goroda sil'no otlichayutsya drug ot druga.,These two cities differ greatly from each other.,state
443,обижаться,obizhat'sya,to take offense (impf),Не обижайся — я пошутил.,Ne obizhaysya — ya poshutil.,Don't take offense — I was joking.,emotion
444,уставать,ustavat',to get tired (impf),Я устаю после долгого рабочего дня.,Ya ustayu posle dolgogo rabochego dnya.,I get tired after a long workday.,state
445,отказываться,otkazyvat'sya,to refuse (impf),Он отказывается есть овощи на ужин.,On otkazyvaetsya yest' ovoshchi na uzhin.,He refuses to eat vegetables for dinner.,social
446,собирать,sobirat',to collect (impf),Она собирает марки с детства.,Ona sobirayet marki s detstva.,She has been collecting stamps since childhood.,action
447,подождать,podozhdat',to wait (a bit pf),Подожди меня здесь — я скоро вернусь.,Podozhdi menya zdes' — ya skoro vernus'.,Wait for me here — I will be back soon.,state
448,проводить,provodit',to spend time/see off (impf),Мы проводим выходные на природе.,My provodim vykhodnyye na prirode.,We spend weekends in nature.,action
449,приобрести,prioblesti,to acquire (pf),Он приобрёл новый опыт на этой работе.,On priobriol novyy opyt na etoy rabote.,He acquired new experience at this job.,possession
450,достигнуть,dostignut',to achieve/reach (pf),Она достигла успеха в своей карьере.,Ona dostigla uspekha v svoyey kar'yere.,She achieved success in her career.,action
451,стремиться,stremit'sya,to strive (impf),Он стремится стать лучшим в своём деле.,On stremitsya stat' luchshim v svoyom dele.,He strives to be the best in his field.,cognition
452,подготовить,podgotovit',to prepare (pf),Мы подготовили всё к приезду гостей.,My podgotovili vsyo k priyezdu gostey.,We prepared everything for the guests' arrival.,action
453,подготовиться,podgotovit'sya,to prepare oneself (pf),Ты подготовился к экзамену по математике?,Ty podgotovils'ya k ekzamenu po matematike?,Did you prepare for the math exam?,cognition
454,изменить,izmenit',to change (pf),Он изменил своё мнение после разговора.,On izmenil svoyo mneniye posle razgovora.,He changed his opinion after the conversation.,change
455,развивать,razvivat',to develop (impf),Компания развивает новые технологии.,Kompaniya razvivayet novyye tekhnologii.,The company develops new technologies.,creation
456,развить,razvit',to develop (pf),Она развила свои навыки за год.,Ona razvila svoi navyki za god.,She developed her skills over a year.,change
457,совершить,sovershit',to commit/accomplish (pf),Он совершил серьёзную ошибку на работе.,On sovershil seryoznuyu oshibku na rabote.,He made a serious mistake at work.,action
458,терпеть,terpet',to endure (impf),Я не могу терпеть такой шум.,Ya ne mogu terpet' takoy shum.,I cannot stand such noise.,emotion
459,нуждаться,nuzhdat'sya,to be in need (impf),Он нуждается в помощи специалиста.,On nuzhdayetsya v pomoshchi spetsialista.,He needs the help of a specialist.,state
460,выполнить,vypolnit',to fulfill/complete (pf),Она выполнила все задания вовремя.,Ona vypolnila vse zadaniya vovremya.,She completed all the tasks on time.,action
461,выполнять,vypolnyat',to carry out (impf),Мы выполняем план на этот квартал.,My vypolnyayem plan na etot kvartal.,We are carrying out the plan for this quarter.,action
462,участвовать,uchastvovat',to participate (impf),Она участвует в конкурсе молодых художников.,Ona uchastvuyet v konkurse molodykh khudozhnikov.,She is participating in a young artists competition.,social
463,голосовать,golosovat',to vote (impf),Граждане голосуют на выборах каждые четыре года.,Grazhdane golosuyut na vyborakh kazhdyye chetyre goda.,Citizens vote in elections every four years.,social
464,поссориться,possorit'sya,to quarrel (pf),Они поссорились из-за пустяка.,Oni possorilis' iz-za pustyaka.,They quarreled over a trifle.,social
465,добавить,dobavit',to add (pf),Добавь немного соли в суп.,Dobav' nemnogo soli v sup.,Add a little salt to the soup.,action
466,убрать,ubrat',to clean up/remove (pf),Убери со стола перед ужином.,Uberi so stola pered uzhinom.,Clear the table before dinner.,action
467,убирать,ubirat',to clean (impf),Она убирает квартиру каждую субботу.,Ona ubirayet kvartiru kazhduyu subbotu.,She cleans the apartment every Saturday.,action
468,пылесосить,pylesosit',to vacuum (impf),Я пылесошу ковёр раз в неделю.,Ya pylesoshu kovyor raz v nedelyu.,I vacuum the carpet once a week.,action
469,протирать,protirat',to wipe (impf),Он протирает стол после каждого обеда.,On protirayet stol posle kazhdogo obeda.,He wipes the table after every meal.,action
470,поливать,polivat',to water (impf),Она поливает цветы на балконе каждый день.,Ona polivayet tsvety na balkone kazhdyy den'.,She waters the flowers on the balcony every day.,action
471,зарабатывать,zarabatyvat',to earn (impf),Он зарабатывает хорошие деньги на этой работе.,On zarabatyvayet khoroshiye den'gi na etoy rabote.,He earns good money at this job.,possession
472,отдать,otdat',to give back (pf),Отдай мне мою книгу назад пожалуйста.,Otday mne moyu knigu nazad pozhaluysta.,Give me my book back please.,possession
473,выразить,vyrazit',to express (pf),Он выразил своё мнение на собрании.,On vyrazil svoyo mneniye na sobranii.,He expressed his opinion at the meeting.,communication
474,принимать,prinimat',to accept (impf),Мы принимаем оплату картой и наличными.,My prinimayem oplatu kartoy i nalichnymi.,We accept payment by card and cash.,social
475,отправлять,otpravlyat',to send (impf),Компания отправляет заказы каждый день.,Kompaniya otpravlyayet zakazy kazhdyy den'.,The company sends orders every day.,action
476,возвращать,vozvrashchat',to return (something impf),Он всегда возвращает книги в библиотеку вовремя.,On vsegda vozvrashchayet knigi v biblioteku vovremya.,He always returns books to the library on time.,action
477,обсуждать,obsuzhdat',to discuss (impf),Коллеги обсуждают новый проект на совещании.,Kollegi obsuzhdayut novyy proyekt na soveshchanii.,Colleagues discuss the new project at the meeting.,communication
478,распределить,raspredelit',to distribute (pf),Учитель распределил задания между учениками.,Uchitel' raspredelil zadaniya mezhdu uchenikami.,The teacher distributed tasks among the students.,social
479,представлять,predstavlyat',to represent/imagine (impf),Он представляет компанию на переговорах.,On predstavlyayet kompaniyu na peregovorakh.,He represents the company at negotiations.,social
480,обещать,obeshchat',to promise (impf/pf),Я обещаю вернуться к вечеру домой.,Ya obeshchayu vernut'sya k vecheru domoy.,I promise to come back home by evening.,communication
481,поздравить,pozdravit',to congratulate (pf),Мы поздравили коллегу с днём рождения.,My pozdravili kollegu s dnyom rozhdeniya.,We congratulated our colleague on the birthday.,social
482,уволить,uvolit',to fire/dismiss (pf),Начальник уволил сотрудника за прогулы.,Nachal'nik uvolil sotrudnika za proguly.,The boss fired the employee for absences.,social
483,уволиться,uvolit'sya,to resign (pf),Она уволилась и нашла новую работу.,Ona uvolilas' i nashla novuyu rabotu.,She resigned and found a new job.,social
484,устроиться,ustroit'sya,to get a job (pf),Он устроился на работу в банк.,On ustroilsya na rabotu v bank.,He got a job at the bank.,social
485,произойти,proizoyti,to occur/happen (pf),Авария произошла на перекрёстке утром.,Avariya proizoshla na perekryostke utrom.,The accident occurred at the intersection in the morning.,existence
486,исчезнуть,ischeznut',to disappear (pf),Кот исчез из дома и не вернулся.,Kot ischeznut' iz doma i ne vernulsya.,The cat disappeared from the house and didn't return.,existence
487,появляться,poyavlyat'sya,to appear (impf),Новые магазины появляются в нашем районе.,Novyye magaziny poyavlyayutsya v nashem rayone.,New stores appear in our neighborhood.,existence
488,существовать,sushchestvovat',to exist (impf),Эта проблема существует уже давно.,Eta problema sushchestvuyet uzhe davno.,This problem has existed for a long time.,existence
489,возникнуть,vozniknut',to arise (pf),Неожиданно возникла новая проблема.,Neozhidanno voznikla novaya problema.,A new problem unexpectedly arose.,existence
490,исправлять,ispravlyat',to correct (impf),Она исправляет ошибки в тексте.,Ona ispravlyayet oshibki v tekste.,She corrects mistakes in the text.,action
491,поступить,postupit',to enroll/act (pf),Она поступила в университет после школы.,Ona postupila v universitet posle shkoly.,She enrolled in university after school.,social
492,занимать,zanimat',to occupy/borrow (impf),Подготовка занимает много времени.,Podgotovka zanimayet mnogo vremeni.,Preparation takes a lot of time.,state
493,прекратить,prekratit',to stop/cease (pf),Прекратите шуметь — здесь больница.,Prekratite shumet' — zdes' bol'nitsa.,Stop making noise — this is a hospital.,change
494,увеличить,uvelichit',to increase (pf),Компания увеличила зарплату на десять процентов.,Kompaniya uvelichila zarplatu na desyat' protsentov.,The company increased salaries by ten percent.,change
495,уменьшить,umen'shit',to decrease (pf),Мы уменьшили расходы на двадцать процентов.,My umen'shili raskhody na dvadtsat' protsentov.,We decreased expenses by twenty percent.,change
496,улучшить,uluchshit',to improve (pf),Он улучшил свои результаты за семестр.,On uluchshil svoi rezul'taty za semestr.,He improved his results over the semester.,change
497,ухудшить,ukhudshit',to worsen (pf),Дождь ухудшил условия на дороге.,Dozhd' ukhudshil usloviya na doroge.,The rain worsened the road conditions.,change
498,завершить,zavershit',to complete (pf),Мы завершили проект в срок.,My zavershili proyekt v srok.,We completed the project on time.,change
499,приступить,pristupit',to start/proceed (pf),Давайте приступим к обсуждению плана.,Davayte pristupim k obsuzhdeniyu plana.,Let's proceed to discussing the plan.,action
500,завершать,zavershat',to complete (impf),Она завершает последний этап работы.,Ona zavershayet posledniy etap raboty.,She is completing the final stage of work.,change

501,торопиться,toropit'sya,to hurry,Не надо торопиться на работу сегодня.,Ne nado toropit'sya na rabotu segodnya.,No need to hurry to work today.,motion
502,краснеть,krasnet',to blush,Она начала краснеть от смущения.,Ona nachala krasnet' ot smushcheniya.,She started to blush from embarrassment.,emotion
503,стрелять,strelyat',to shoot,Охотник умеет метко стрелять из ружья.,Okhotnik umeet metko strelyat' iz ruzh'ya.,The hunter can shoot accurately with a rifle.,action
504,копать,kopat',to dig,Дедушка любит копать грядки в огороде.,Dedushka lyubit kopat' gryadki v ogorode.,Grandpa likes to dig beds in the garden.,action
505,лечить,lechit',to treat/cure,Этот врач умеет лечить сложные болезни.,Etot vrach umeet lechit' slozhnye bolezni.,This doctor can treat complex diseases.,social
506,прятать,pryatat',to hide,Мама любит прятать подарки в шкафу.,Mama lyubit pryatat' podarki v shkafu.,Mom likes to hide gifts in the closet.,action
507,мыть,myt',to wash,Нужно мыть руки перед едой.,Nuzhno myt' ruki pered edoy.,You need to wash your hands before eating.,action
508,чистить,chistit',to clean,Я чищу зубы два раза в день.,Ya chishchu zuby dva raza v den'.,I clean my teeth twice a day.,action
509,гладить,gladit',to iron/stroke,Она гладит рубашку перед работой.,Ona gladit rubashku pered rabotoy.,She irons the shirt before work.,action
510,резать,rezat',to cut,Папа режет хлеб на кухне.,Papa rezhet khleb na kukhne.,Dad cuts bread in the kitchen.,action
511,варить,varit',to boil/cook,Бабушка варит суп каждый день.,Babushka varit sup kazhdyy den'.,Grandma cooks soup every day.,action
512,жарить,zharit',to fry,Мы жарим картошку на сковороде.,My zharim kartoshku na skovorode.,We fry potatoes in the pan.,action
513,печь,pech',to bake,Мама печёт пирог с яблоками.,Mama pechyot pirog s yablokami.,Mom bakes a pie with apples.,creation
514,сушить,sushit',to dry,Я сушу бельё на балконе.,Ya sushu bel'yo na balkone.,I dry the laundry on the balcony.,action
515,тушить,tushit',to stew/extinguish,Пожарные тушат огонь в здании.,Pozharnye tushat ogon' v zdanii.,Firefighters extinguish the fire in the building.,action
516,мешать,meshat',to stir/disturb,Не мешай мне работать сейчас.,Ne meshay mne rabotat' seychas.,Don't disturb me while I work now.,action
517,солить,solit',to salt,Повар солит суп по вкусу.,Povar solit sup po vkusu.,The cook salts the soup to taste.,action
518,пробовать,probovat',to try/taste,Хочешь пробовать этот новый торт?,Khochesh' probovat' etot novyy tort?,Do you want to try this new cake?,perception
519,наливать,nalivat',to pour,Она наливает чай в чашку.,Ona nalivaet chay v chashku.,She pours tea into the cup.,action
520,засыпать,zasypat',to fall asleep,Ребёнок засыпает под колыбельную.,Rebyonok zasypat pod kolybel'nuyu.,The child falls asleep to a lullaby.,state
521,просыпаться,prosypat'sya,to wake up,Я просыпаюсь в семь утра каждый день.,Ya prosypayus' v sem' utra kazhdyy den'.,I wake up at seven every morning.,state
522,одеваться,odevat'sya,to get dressed,Она одевается быстро по утрам.,Ona odevaetsya bystro po utram.,She gets dressed quickly in the mornings.,action
523,раздеваться,razdevat'sya,to undress,Дети раздеваются после прогулки.,Deti razdevayutsya posle progulki.,The children undress after the walk.,action
524,умываться,umyvat'sya,to wash one's face,Он умывается холодной водой утром.,On umyvaetsya kholodnoy vodoy utrom.,He washes his face with cold water in the morning.,action
525,причёсываться,prichyosyvat'sya,to comb one's hair,Девочка причёсывается перед зеркалом.,Devochka prichyosyvaetsya pered zerkalom.,The girl combs her hair in front of the mirror.,action
526,бриться,brit'sya,to shave,Отец бреется каждое утро перед работой.,Otets breetsya kazhdoe utro pered rabotoy.,Father shaves every morning before work.,action
527,загорать,zagorat',to sunbathe,Мы любим загорать на пляже летом.,My lyubim zagorat' na plyazhe letom.,We like to sunbathe on the beach in summer.,action
528,купаться,kupat'sya,to swim/bathe,Дети купаются в озере каждый день.,Deti kupayutsya v ozere kazhdyy den'.,The children swim in the lake every day.,action
529,кататься,katat'sya,to ride for fun,Зимой мы катаемся на коньках.,Zimoy my kataemsya na kon'kakh.,In winter we go ice skating.,motion
530,гулять,gulyat',to walk/stroll,Мы гуляем в парке каждый вечер.,My gulyaem v parke kazhdyy vecher.,We stroll in the park every evening.,motion
531,танцевать,tantsevat',to dance,Она красиво танцует на сцене.,Ona krasivo tantsuet na stsene.,She dances beautifully on stage.,action
532,рисовать,risovat',to draw,Мальчик рисует картину красками.,Mal'chik risuet kartinu kraskami.,The boy draws a picture with paints.,creation
533,фотографировать,fotografirovat',to photograph,Туристы фотографируют старый замок.,Turisty fotografiruyut staryy zamok.,Tourists photograph the old castle.,creation
534,путешествовать,puteshestvovat',to travel,Мы любим путешествовать по Европе.,My lyubim puteshestvovat' po Evrope.,We like to travel around Europe.,motion
535,отдыхать,otdykhat',to rest,После работы я отдыхаю на диване.,Posle raboty ya otdykhayu na divane.,After work I rest on the couch.,state
536,болеть,bolet',to be sick/hurt,Он болеет гриппом уже неделю.,On boleet grippom uzhe nedelyu.,He has been sick with the flu for a week.,state
537,кашлять,kashlyat',to cough,Ребёнок кашляет всю ночь напролёт.,Rebyonok kashlyaet vsyu noch' naprolyot.,The child coughs all night long.,state
538,чихать,chikhat',to sneeze,Весной я часто чихаю от аллергии.,Vesnoy ya chasto chikhayu ot allergii.,In spring I often sneeze from allergies.,state
539,дышать,dyshat',to breathe,В горах трудно дышать из-за высоты.,V gorakh trudno dyshat' iz-za vysoty.,It's hard to breathe in the mountains due to altitude.,state
540,глотать,glotat',to swallow,Больно глотать когда болит горло.,Bol'no glotat' kogda bolit gorlo.,It hurts to swallow when your throat is sore.,action
541,жевать,zhevat',to chew,Нужно хорошо жевать пищу перед глотанием.,Nuzhno khorosho zhevat' pishchu pered glotaniem.,You need to chew food well before swallowing.,action
542,кусать,kusat',to bite,Собака может кусать незнакомых людей.,Sobaka mozhet kusat' neznakomykh lyudey.,The dog may bite strangers.,action
543,царапать,tsarapat',to scratch,Кошка царапает мебель когтями.,Koshka tsarapaet mebel' kogtyami.,The cat scratches the furniture with its claws.,action
544,ломать,lomat',to break,Не ломай игрушки своей сестры.,Ne lomay igrushki svoyey sestry.,Don't break your sister's toys.,action
545,ронять,ronyat',to drop,Я постоянно роняю телефон на пол.,Ya postoyanno ronyayu telefon na pol.,I constantly drop my phone on the floor.,action
546,толкать,tolkat',to push,Мальчик толкает тяжёлую дверь.,Mal'chik tolkaet tyazhyoluyu dver'.,The boy pushes the heavy door.,action
547,тянуть,tyanut',to pull,Собака тянет поводок на прогулке.,Sobaka tyanet povodok na progulke.,The dog pulls the leash on the walk.,action
548,крутить,krutit',to twist/turn,Ребёнок крутит руль игрушечной машины.,Rebyonok krutit rul' igrushechnoy mashiny.,The child turns the wheel of a toy car.,action
549,качать,kachat',to rock/swing,Мама качает ребёнка на руках.,Mama kachaet rebyonka na rukakh.,Mom rocks the child in her arms.,action
550,трясти,tryasti,to shake,Ветер трясёт деревья в саду.,Veter tryasyot derev'ya v sadu.,The wind shakes the trees in the garden.,action
551,мазать,mazat',to spread/smear,Я мажу масло на хлеб.,Ya mazhu maslo na khleb.,I spread butter on bread.,action
552,клеить,kleit',to glue,Дети клеят аппликации из бумаги.,Deti kleyat applikatsii iz bumagi.,The children glue paper crafts.,creation
553,шить,shit',to sew,Бабушка шьёт платье для внучки.,Babushka sh'yot plat'ye dlya vnuchki.,Grandma sews a dress for her granddaughter.,creation
554,вязать,vyazat',to knit/tie,Мама вяжет тёплый шарф на зиму.,Mama vyazhet tyoplyy sharf na zimu.,Mom knits a warm scarf for winter.,creation
555,красить,krasit',to paint/dye,Мы красим стены в новой квартире.,My krasim steny v novoy kvartire.,We paint the walls in the new apartment.,creation
556,ремонтировать,remontirovat',to repair,Мастер ремонтирует сломанный компьютер.,Master remontiruet slomannyy komp'yuter.,The technician repairs the broken computer.,action
557,заряжать,zaryazhat',to charge,Мне нужно заряжать телефон каждый вечер.,Mne nuzhno zaryazhat' telefon kazhdyy vecher.,I need to charge my phone every evening.,action
558,включать,vklyuchat',to turn on,Она включает свет в комнате.,Ona vklyuchaet svet v komnate.,She turns on the light in the room.,action
559,выключать,vyklyuchat',to turn off,Не забудь выключать свет перед сном.,Ne zabud' vyklyuchat' svet pered snom.,Don't forget to turn off the light before bed.,action
560,нажимать,nazhimat',to press,Нажмите эту кнопку для вызова лифта.,Nazhmite etu knopku dlya vyzova lifta.,Press this button to call the elevator.,action
561,переключать,pereklyuchat',to switch,Он переключает каналы на телевизоре.,On pereklyuchaet kanaly na televizore.,He switches channels on the TV.,action
562,скачивать,skachivat',to download,Я скачиваю музыку из интернета.,Ya skachivayu muzyku iz interneta.,I download music from the internet.,action
563,отправлять,otpravlyat',to send,Мы отправляем посылку по почте.,My otpravlyaem posylku po pochte.,We send the package by mail.,communication
564,получать,poluchat',to receive,Я получаю письма каждый понедельник.,Ya poluchayu pis'ma kazhdyy ponedel'nik.,I receive letters every Monday.,possession
565,заказывать,zakazyvat',to order,Мы заказываем пиццу на ужин.,My zakazyvaem pitstsu na uzhin.,We order pizza for dinner.,action
566,оплачивать,oplachivat',to pay for,Нужно оплачивать счета вовремя.,Nuzhno oplachivat' scheta vovremya.,You need to pay the bills on time.,possession
567,экономить,ekonomit',to save money,Мы стараемся экономить на электричестве.,My staraemsya ekonomit' na elektrichestve.,We try to save on electricity.,possession
568,тратить,tratit',to spend,Она тратит много денег на одежду.,Ona tratit mnogo deneg na odezhdu.,She spends a lot of money on clothes.,possession
569,зарабатывать,zarabatyvat',to earn,Он зарабатывает деньги программированием.,On zarabatyvaet den'gi programmirovaniyem.,He earns money by programming.,possession
570,вкладывать,vkladyvat',to invest,Они вкладывают деньги в недвижимость.,Oni vkladyvayut den'gi v nedvizhimost'.,They invest money in real estate.,possession
571,считать,schitat',to count,Девочка считает звёзды на небе.,Devochka schitaet zvyozdy na nebe.,The girl counts the stars in the sky.,cognition
572,измерять,izmeryat',to measure,Врач измеряет давление у пациента.,Vrach izmeryaet davlenie u patsienta.,The doctor measures the patient's blood pressure.,action
573,взвешивать,vzveshivat',to weigh,Продавец взвешивает фрукты на весах.,Prodavets vzveshivaet frukty na vesakh.,The seller weighs the fruit on the scales.,action
574,выбирать,vybirat',to choose,Мы выбираем подарок для друга.,My vybiraem podarok dlya druga.,We choose a gift for a friend.,cognition
575,сравнивать,sravnivat',to compare,Покупатель сравнивает цены в магазинах.,Pokupatel' sravnivaet tseny v magazinakh.,The buyer compares prices in stores.,cognition
576,проверять,proveryat',to check,Учитель проверяет домашние задания учеников.,Uchitel' proveryaet domashnie zadaniya uchenikov.,The teacher checks the students' homework.,cognition
577,исправлять,ispravlyat',to correct,Редактор исправляет ошибки в тексте.,Redaktor ispravlyaet oshibki v tekste.,The editor corrects errors in the text.,change
578,улучшать,uluchshat',to improve,Компания улучшает качество своих продуктов.,Kompaniya uluchshaet kachestvo svoikh produktov.,The company improves the quality of its products.,change
579,ухудшать,ukhudhat',to worsen,Дождь ухудшает видимость на дороге.,Dozhd' ukhudshaet vidimost' na doroge.,Rain worsens visibility on the road.,change
580,увеличивать,uvelichivat',to increase,Фирма увеличивает объём производства.,Firma uvelichivaet ob"yom proizvodstva.,The firm increases production volume.,change
581,уменьшать,umen'shat',to decrease,Нужно уменьшать расходы в этом месяце.,Nuzhno umen'shat' raskhody v etom mesyatse.,We need to decrease expenses this month.,change
582,ускорять,uskoryat',to speed up,Новый процессор ускоряет работу компьютера.,Novyy protsessor uskoryaet rabotu komp'yutera.,The new processor speeds up the computer.,change
583,замедлять,zamedlyat',to slow down,Пробки замедляют движение в городе.,Probki zamedlyayut dvizhenie v gorode.,Traffic jams slow down movement in the city.,change
584,останавливать,ostanavlivat',to stop,Полицейский останавливает машину на дороге.,Politseyskiy ostanavlivaet mashinu na doroge.,The policeman stops the car on the road.,action
585,продолжать,prodolzhat',to continue,Мы продолжаем работу после обеда.,My prodolzhaem rabotu posle obeda.,We continue work after lunch.,action
586,повторять,povtoryat',to repeat,Студенты повторяют слова за учителем.,Studenty povtoryayut slova za uchitelem.,Students repeat words after the teacher.,communication
587,запоминать,zapominat',to memorize,Она легко запоминает новые слова.,Ona legko zapominaet novye slova.,She easily memorizes new words.,cognition
588,забывать,zabyvat',to forget,Я часто забываю ключи дома.,Ya chasto zabyvau klyuchi doma.,I often forget my keys at home.,cognition
589,напоминать,napominat',to remind,Напомни мне позвонить маме вечером.,Napomni mne pozvonit' mame vecherom.,Remind me to call mom in the evening.,communication
590,узнавать,uznavat',to recognize/find out,Я не узнаю его после стольких лет.,Ya ne uznayu ego posle stol'kikh let.,I don't recognize him after so many years.,cognition
591,догадываться,dogadyvat'sya,to guess,Она догадывается о нашем сюрпризе.,Ona dogadyvaetsya o nashem syurprize.,She guesses about our surprise.,cognition
592,сомневаться,somnevat'sya,to doubt,Я сомневаюсь в правильности этого решения.,Ya somnevayus' v pravil'nosti etogo resheniya.,I doubt the correctness of this decision.,cognition
593,уточнять,utochnyat',to clarify,Менеджер уточняет детали заказа у клиента.,Menedzher utochnyaet detali zakaza u klienta.,The manager clarifies order details with the client.,communication
594,подтверждать,podtverzhat',to confirm,Секретарь подтверждает запись на приём.,Sekretar' podtverzhdaet zapis' na priyom.,The secretary confirms the appointment.,communication
595,отменять,otmenyat',to cancel,Мы отменяем встречу из-за погоды.,My otmenyaem vstrechu iz-za pogody.,We cancel the meeting due to the weather.,action
596,переносить,perenosit',to reschedule/carry,Давайте перенесём собрание на пятницу.,Davayte perenesyom sobranie na pyatnitsu.,Let's reschedule the meeting to Friday.,change
597,опаздывать,opazdyvat',to be late,Он всегда опаздывает на работу.,On vsegda opazdyvaet na rabotu.,He is always late for work.,motion
598,успевать,uspevat',to be on time/manage,Я едва успеваю на утренний поезд.,Ya edva uspevayu na utrenniy poyezd.,I barely make it to the morning train.,motion
599,торопить,toropit',to rush someone,Не торопи меня с этим заданием.,Ne toropi menya s etim zadaniem.,Don't rush me with this task.,communication
600,ждать,zhdat',to wait,Мы ждём автобус на остановке.,My zhdyom avtobus na ostanovke.,We wait for the bus at the stop.,state
601,встречать,vstrechat',to meet,Мы встречаем гостей в аэропорту.,My vstrechaem gostey v aeroportu.,We meet the guests at the airport.,social
602,провожать,provozhat',to see off,Родители провожают сына в армию.,Roditeli provozhayut syna v armiyu.,The parents see off their son to the army.,social
603,приглашать,priglashat',to invite,Мы приглашаем друзей на день рождения.,My priglashaem druzey na den' rozhdeniya.,We invite friends to the birthday party.,social
604,знакомиться,znakomit'sya,to get acquainted,Приятно знакомиться с новыми людьми.,Priyatno znakomit'sya s novymi lyud'mi.,It's nice to get acquainted with new people.,social
605,общаться,obshchat'sya,to communicate/socialize,Они общаются по видеосвязи каждый день.,Oni obshchayutsya po videosvyazi kazhdyy den'.,They communicate via video call every day.,communication
606,обнимать,obnimat',to hug,Мама обнимает ребёнка перед сном.,Mama obnimaet rebyonka pered snom.,Mom hugs the child before bed.,emotion
607,целовать,tselovat',to kiss,Бабушка целует внуков при встрече.,Babushka tseluet vnukov pri vstreche.,Grandma kisses her grandchildren when meeting.,emotion
608,жаловаться,zhalovat'sya,to complain,Соседи жалуются на громкую музыку.,Sosedi zhaluyutsya na gromkuyu muzyku.,The neighbors complain about loud music.,communication
609,хвалить,khvalit',to praise,Учитель хвалит ученика за хорошую работу.,Uchitel' khvalit uchenika za khoroshuyu rabotu.,The teacher praises the student for good work.,communication
610,ругать,rugat',to scold,Мама ругает сына за плохие оценки.,Mama rugaet syna za plokhie otsenki.,Mom scolds her son for bad grades.,communication
611,наказывать,nakazyvat',to punish,Родители наказывают детей за плохое поведение.,Roditeli nakazyvayut detey za plokhoe povedenie.,Parents punish children for bad behavior.,social
612,прощать,proshchat',to forgive,Она всегда прощает друзей за ошибки.,Ona vsegda proshchaet druzey za oshibki.,She always forgives friends for their mistakes.,emotion
613,извиняться,izvinyat'sya,to apologize,Он извиняется за своё опоздание.,On izvinyaetsya za svoyo opozdanie.,He apologizes for being late.,communication
614,благодарить,blagodarit',to thank,Мы благодарим вас за помощь.,My blagodarim vas za pomoshch'.,We thank you for your help.,communication
615,поздравлять,pozdravlyat',to congratulate,Коллеги поздравляют её с повышением.,Kollegi pozdravlyayut yeyo s povysheniem.,Colleagues congratulate her on the promotion.,social
616,желать,zhelat',to wish,Мы желаем вам счастья и здоровья.,My zhelaem vam schast'ya i zdorov'ya.,We wish you happiness and health.,communication
617,обещать,obeshchat',to promise,Он обещает вернуться до вечера.,On obeshchaet vernut'sya do vechera.,He promises to return before evening.,communication
